12:58:52 | INFO    | 16_gap_injection | gru_h64_l2_w48_H24_s1337: 40961 params | train 21732 windows, val 4251 | 85 steps/epoch | matrix 2.3 MB on device
12:58:53 | INFO    | 16_gap_injection | gru_h64_l2_w48_H24_s1337 epoch   1/60  train 1.75080  val 0.50651  lr 3.33e-04  0.5s  *
12:58:53 | INFO    | 16_gap_injection | gru_h64_l2_w48_H24_s1337 epoch   2/60  train 0.42414  val 0.52467  lr 6.67e-04  0.4s
12:58:54 | INFO    | 16_gap_injection | gru_h64_l2_w48_H24_s1337 epoch   3/60  train 0.40470  val 0.49678  lr 1.00e-03  0.5s  *
12:58:54 | INFO    | 16_gap_injection | gru_h64_l2_w48_H24_s1337 epoch   4/60  train 0.39367  val 0.50841  lr 1.00e-03  0.5s
12:58:55 | INFO    | 16_gap_injection | gru_h64_l2_w48_H24_s1337 epoch   5/60  train 0.38055  val 0.49388  lr 9.99e-04  0.5s  *
12:58:55 | INFO    | 16_gap_injection | gru_h64_l2_w48_H24_s1337 epoch   6/60  train 0.36642  val 0.48161  lr 9.97e-04  0.5s  *
12:58:56 | INFO    | 16_gap_injection | gru_h64_l2_w48_H24_s1337 epoch   7/60  train 0.35443  val 0.47808  lr 9.93e-04  0.5s  *
12:58:56 | INFO    | 16_gap_injection | gru_h64_l2_w48_H24_s1337 epoch   8/60  train 0.34510  val 0.46660  lr 9.88e-04  0.4s  *
12:58:57 | INFO    | 16_gap_injection | gru_h64_l2_w48_H24_s1337 epoch   9/60  train 0.33039  val 0.50251  lr 9.81e-04  0.5s
12:58:57 | INFO    | 16_gap_injection | gru_h64_l2_w48_H24_s1337 epoch  10/60  train 0.31617  val 0.49650  lr 9.73e-04  0.5s
12:58:58 | INFO    | 16_gap_injection | gru_h64_l2_w48_H24_s1337 epoch  11/60  train 0.29846  val 0.54947  lr 9.64e-04  0.4s
12:58:58 | INFO    | 16_gap_injection | gru_h64_l2_w48_H24_s1337 epoch  12/60  train 0.28350  val 0.50574  lr 9.53e-04  0.5s
12:58:59 | INFO    | 16_gap_injection | gru_h64_l2_w48_H24_s1337 epoch  13/60  train 0.26892  val 0.53986  lr 9.40e-04  0.5s
12:58:59 | INFO    | 16_gap_injection | gru_h64_l2_w48_H24_s1337 epoch  14/60  train 0.25252  val 0.57773  lr 9.27e-04  0.5s
12:59:00 | INFO    | 16_gap_injection | gru_h64_l2_w48_H24_s1337 epoch  15/60  train 0.24085  val 0.53016  lr 9.12e-04  0.4s
