
==============================================================================
LOOKBACK FRONTIER — 5 arms at h=24, deepest feature 168 h
==============================================================================
  C     cap=None  floor=None  status quo: full features, floor 168
  B48   cap=48    floor=168   capped features, floor held at 168
  A48   cap=48    floor=None  capped features, floor at 48
  B24   cap=24    floor=168   capped features, floor held at 168
  A24   cap=24    floor=None  capped features, floor at 24
01:38:19 | INFO    | 21_lookback_frontier | === arm C: cap 168, floor 168 ===
01:38:52 | INFO    | 21_lookback_frontier | gru_h64_l2_w48_H24_s1337 epoch  25/60  train 0.07682  val 0.16606  lr 2.11e-03  0.6s
01:38:53 | INFO    | 21_lookback_frontier | gru_h64_l2_w48_H24_s1337 epoch  26/60  train 0.07611  val 0.15008  lr 2.03e-03  0.6s
01:38:54 | INFO    | 21_lookback_frontier | gru_h64_l2_w48_H24_s1337 epoch  27/60  train 0.07352  val 0.17851  lr 1.95e-03  0.6s
01:38:55 | INFO    | 21_lookback_frontier | gru_h64_l2_w48_H24_s1337 epoch  28/60  train 0.07168  val 0.16113  lr 1.87e-03  0.6s
01:38:55 | INFO    | 21_lookback_frontier | gru_h64_l2_w48_H24_s1337 epoch  29/60  train 0.06960  val 0.15950  lr 1.79e-03  0.7s
01:38:56 | INFO    | 21_lookback_frontier | gru_h64_l2_w48_H24_s1337 epoch  30/60  train 0.06907  val 0.15219  lr 1.71e-03  0.6s
01:38:57 | INFO    | 21_lookback_frontier | gru_h64_l2_w48_H24_s1337 epoch  31/60  train 0.06852  val 0.16077  lr 1.63e-03  0.7s
01:38:57 | INFO    | 21_lookback_frontier | gru_h64_l2_w48_H24_s1337 epoch  32/60  train 0.06683  val 0.15640  lr 1.55e-03  0.8s
01:38:58 | INFO    | 21_lookback_frontier | gru_h64_l2_w48_H24_s1337 epoch  33/60  train 0.06590  val 0.15691  lr 1.46e-03  0.7s
01:38:59 | INFO    | 21_lookback_frontier | gru_h64_l2_w48_H24_s1337 epoch  34/60  train 0.06403  val 0.15791  lr 1.38e-03  0.8s
01:39:00 | INFO    | 21_lookback_frontier | gru_h64_l2_w48_H24_s1337 epoch  35/60  train 0.06249  val 0.15965  lr 1.30e-03  0.8s
01:39:00 | INFO    | 21_lookback_frontier | gru_h64_l2_w48_H24_s2024: resumed from epoch 20 (best val 0.10221)
01:39:00 | INFO    | 21_lookback_frontier | gru_h64_l2_w48_H24_s2024: 41153 params | train 25787 windows, val 5955 | 101 steps/epoch | matrix 5.4 MB on device
01:39:01 | INFO    | 21_lookback_frontier | gru_h64_l2_w48_H24_s2024 epoch  21/60  train 0.08658  val 0.14178  lr 2.39e-03  0.9s
01:39:02 | INFO    | 21_lookback_frontier | gru_h64_l2_w48_H24_s2024 epoch  22/60  train 0.08561  val 0.14059  lr 2.32e-03  0.9s
01:39:03 | INFO    | 21_lookback_frontier | gru_h64_l2_w48_H24_s2024 epoch  23/60  train 0.08166  val 0.14263  lr 2.25e-03  0.8s
01:39:04 | INFO    | 21_lookback_frontier | gru_h64_l2_w48_H24_s2024 epoch  24/60  train 0.08131  val 0.13501  lr 2.18e-03  0.7s
01:39:04 | INFO    | 21_lookback_frontier | gru_h64_l2_w48_H24_s2024 epoch  25/60  train 0.07810  val 0.14617  lr 2.11e-03  0.7s
01:39:05 | INFO    | 21_lookback_frontier | gru_h64_l2_w48_H24_s2024 epoch  26/60  train 0.07679  val 0.16651  lr 2.03e-03  0.7s
01:39:06 | INFO    | 21_lookback_frontier | gru_h64_l2_w48_H24_s2024 epoch  27/60  train 0.07537  val 0.14567  lr 1.95e-03  0.7s
01:39:06 | INFO    | 21_lookback_frontier | gru_h64_l2_w48_H24_s2024 epoch  28/60  train 0.07374  val 0.15756  lr 1.87e-03  0.7s
