01:43:59 | INFO    | 20_missingness_law | wrote fig16_decision_rule.png, fig16_decision_rule.pdf
01:43:59 | INFO    | 20_missingness_law | wrote F:\BUP\results\missingness_law.json
01:44:00 | INFO    | 20_missingness_law | loaded 505 cells from 5 donor grid(s)
01:44:02 | INFO    | 20_missingness_law | wrote fig14_missingness_amplification.png, fig14_missingness_amplification.pdf
01:44:02 | INFO    | 20_missingness_law | wrote fig16_decision_rule.png, fig16_decision_rule.pdf
01:44:02 | INFO    | 20_missingness_law | wrote F:\BUP\results\missingness_law_beijing.json
01:46:26 | INFO    | 20_missingness_law | loaded 505 cells from 5 donor grid(s)
01:46:28 | INFO    | 20_missingness_law | wrote fig14_missingness_amplification.png, fig14_missingness_amplification.pdf
01:46:29 | INFO    | 20_missingness_law | wrote fig16_decision_rule.png, fig16_decision_rule.pdf
01:46:29 | INFO    | 20_missingness_law | wrote F:\BUP\results\missingness_law.json
01:46:30 | INFO    | 20_missingness_law | loaded 505 cells from 5 donor grid(s)
01:46:31 | INFO    | 20_missingness_law | wrote fig14_missingness_amplification.png, fig14_missingness_amplification.pdf
01:46:32 | INFO    | 20_missingness_law | wrote fig16_decision_rule.png, fig16_decision_rule.pdf
01:46:32 | INFO    | 20_missingness_law | wrote F:\BUP\results\missingness_law_beijing.json
01:47:11 | INFO    | 20_missingness_law | loaded 505 cells from 5 donor grid(s)
01:47:13 | INFO    | 20_missingness_law | wrote fig14_missingness_amplification.png, fig14_missingness_amplification.pdf
01:47:13 | INFO    | 20_missingness_law | wrote fig16_decision_rule.png, fig16_decision_rule.pdf
01:47:13 | INFO    | 20_missingness_law | wrote F:\BUP\results\missingness_law.json
01:47:14 | INFO    | 20_missingness_law | loaded 505 cells from 5 donor grid(s)
01:47:16 | INFO    | 20_missingness_law | wrote fig14_missingness_amplification.png, fig14_missingness_amplification.pdf
01:47:16 | INFO    | 20_missingness_law | wrote fig16_decision_rule.png, fig16_decision_rule.pdf
01:47:16 | INFO    | 20_missingness_law | wrote F:\BUP\results\missingness_law_beijing.json
