20:07:19 | INFO    | 08_green_measure | complexity: 17441 params, 2,967,584 MACs, 0.2694 ms/sample (p95 0.3644), peak 16.8 MB
20:07:19 | INFO    | 08_green_measure | complexity: 25889 params, 632,864 MACs, 0.3009 ms/sample (p95 0.4438), peak 24.4 MB
20:07:20 | INFO    | 08_green_measure | complexity: 25889 params, 1,265,696 MACs, 0.2908 ms/sample (p95 0.4340), peak 24.5 MB
20:07:20 | INFO    | 08_green_measure | complexity: 25889 params, 4,429,856 MACs, 0.3093 ms/sample (p95 0.4023), peak 24.9 MB
20:07:20 | INFO    | 08_green_measure | complexity: 43073 params, 1,044,544 MACs, 0.2606 ms/sample (p95 0.3657), peak 16.6 MB
20:07:21 | INFO    | 08_green_measure | complexity: 43073 params, 2,089,024 MACs, 0.2744 ms/sample (p95 0.4007), peak 16.8 MB
20:07:21 | INFO    | 08_green_measure | complexity: 43073 params, 7,311,424 MACs, 0.2634 ms/sample (p95 0.3395), peak 17.5 MB
20:07:22 | INFO    | 08_green_measure | complexity: 76353 params, 1,855,552 MACs, 0.2802 ms/sample (p95 0.3674), peak 24.9 MB
20:07:22 | INFO    | 08_green_measure | complexity: 76353 params, 3,711,040 MACs, 0.2970 ms/sample (p95 0.4407), peak 25.0 MB
20:07:23 | INFO    | 08_green_measure | complexity: 76353 params, 12,988,480 MACs, 0.3416 ms/sample (p95 0.3825), peak 26.5 MB
20:07:23 | INFO    | 08_green_measure | wrote green measurements to F:\BUP\results\results.json
02:51:05 | INFO    | 08_green_measure | complexity: 12513 params, 304,928 MACs, 0.2324 ms/sample (p95 0.2651), peak 16.3 MB
02:51:05 | INFO    | 08_green_measure | complexity: 12513 params, 609,824 MACs, 0.2498 ms/sample (p95 0.3387), peak 16.4 MB
02:51:06 | INFO    | 08_green_measure | complexity: 12513 params, 2,134,304 MACs, 0.2501 ms/sample (p95 0.3038), peak 16.7 MB
02:51:06 | INFO    | 08_green_measure | complexity: 18849 params, 462,368 MACs, 0.2963 ms/sample (p95 0.3910), peak 24.3 MB
02:51:07 | INFO    | 08_green_measure | complexity: 18849 params, 924,704 MACs, 0.2783 ms/sample (p95 0.3683), peak 24.4 MB
02:51:07 | INFO    | 08_green_measure | complexity: 18849 params, 3,236,384 MACs, 0.2936 ms/sample (p95 0.3786), peak 24.7 MB
