12:13:48 | INFO    | 16_gap_injection | gru_h64_l2_w48_H24_s1337 epoch  23/65  train 0.09365  val 0.63162  lr 2.36e-03  0.4s
12:13:48 | INFO    | 16_gap_injection | gru_h64_l2_w48_H24_s1337 epoch  24/65  train 0.08964  val 0.62838  lr 2.30e-03  0.4s
12:13:49 | INFO    | 16_gap_injection | gru_h64_l2_w48_H24_s1337 epoch  25/65  train 0.08581  val 0.62065  lr 2.23e-03  0.4s
12:13:49 | INFO    | 16_gap_injection | gru_h64_l2_w48_H24_s1337 epoch  26/65  train 0.08382  val 0.63671  lr 2.16e-03  0.4s
12:13:50 | INFO    | 16_gap_injection | gru_h64_l2_w48_H24_s1337 epoch  27/65  train 0.08067  val 0.64273  lr 2.09e-03  0.4s
12:13:50 | INFO    | 16_gap_injection | gru_h64_l2_w48_H24_s1337 epoch  28/65  train 0.07920  val 0.63087  lr 2.02e-03  0.5s
12:13:50 | INFO    | 16_gap_injection | gru_h64_l2_w48_H24_s1337 epoch  29/65  train 0.07895  val 0.64871  lr 1.95e-03  0.5s
12:13:51 | INFO    | 16_gap_injection | gru_h64_l2_w48_H24_s1337 epoch  30/65  train 0.07575  val 0.64994  lr 1.88e-03  0.5s
12:13:51 | INFO    | 16_gap_injection | gru_h64_l2_w48_H24_s1337 epoch  31/65  train 0.07462  val 0.65662  lr 1.81e-03  0.4s
12:13:52 | INFO    | 16_gap_injection | gru_h64_l2_w48_H24_s1337 epoch  32/65  train 0.07366  val 0.64745  lr 1.73e-03  0.5s
12:13:52 | INFO    | 16_gap_injection | gru_h64_l2_w48_H24_s1337 epoch  33/65  train 0.07288  val 0.65864  lr 1.66e-03  0.5s
12:13:53 | INFO    | 16_gap_injection | gru_h64_l2_w48_H24_s1337 epoch  34/65  train 0.07103  val 0.64192  lr 1.58e-03  0.4s
12:13:53 | INFO    | 16_gap_injection | gru_h64_l2_w48_H24_s1337 epoch  35/65  train 0.06948  val 0.63714  lr 1.51e-03  0.4s
12:13:54 | INFO    | 16_gap_injection | gru_h64_l2_w48_H24_s1337 epoch  36/65  train 0.06823  val 0.64523  lr 1.43e-03  0.4s
12:13:54 | INFO    | 16_gap_injection | gru_h64_l2_w48_H24_s1337 epoch  37/65  train 0.06612  val 0.65693  lr 1.35e-03  0.5s
12:13:55 | INFO    | 16_gap_injection | gru_h64_l2_w48_H24_s1337 epoch  38/65  train 0.06624  val 0.65865  lr 1.28e-03  0.5s
12:13:55 | INFO    | 16_gap_injection |     gru_h64_l2: 19898 windows, 78 steps/epoch -> 65 epochs (~5070 optimizer steps)
12:13:55 | INFO    | 16_gap_injection | gru_h64_l2_w48_H24_s2024: resumed from epoch 22 (best val 0.42453)
12:13:55 | INFO    | 16_gap_injection | gru_h64_l2_w48_H24_s2024: 40961 params | train 19898 windows, val 4209 | 78 steps/epoch | matrix 2.3 MB on device
12:13:55 | INFO    | 16_gap_injection | gru_h64_l2_w48_H24_s2024 epoch  23/65  train 0.09026  val 0.55732  lr 2.36e-03  0.4s
12:13:56 | INFO    | 16_gap_injection | gru_h64_l2_w48_H24_s2024 epoch  24/65  train 0.09099  val 0.57760  lr 2.30e-03  0.4s
12:13:56 | INFO    | 16_gap_injection | gru_h64_l2_w48_H24_s2024 epoch  25/65  train 0.08760  val 0.56915  lr 2.23e-03  0.5s
12:13:56 | INFO    | 16_gap_injection | gru_h64_l2_w48_H24_s2024 epoch  26/65  train 0.08422  val 0.56538  lr 2.16e-03  0.4s
12:13:57 | INFO    | 16_gap_injection | gru_h64_l2_w48_H24_s2024 epoch  27/65  train 0.08322  val 0.55420  lr 2.09e-03  0.5s
12:13:57 | INFO    | 16_gap_injection | gru_h64_l2_w48_H24_s2024 epoch  28/65  train 0.08056  val 0.56864  lr 2.02e-03  0.4s
12:13:58 | INFO    | 16_gap_injection | gru_h64_l2_w48_H24_s2024 epoch  29/65  train 0.08005  val 0.58244  lr 1.95e-03  0.4s
12:13:58 | INFO    | 16_gap_injection | gru_h64_l2_w48_H24_s2024 epoch  30/65  train 0.07795  val 0.57688  lr 1.88e-03  0.4s
12:13:59 | INFO    | 16_gap_injection | gru_h64_l2_w48_H24_s2024 epoch  31/65  train 0.07629  val 0.56644  lr 1.81e-03  0.5s
12:13:59 | INFO    | 16_gap_injection | gru_h64_l2_w48_H24_s2024 epoch  32/65  train 0.07573  val 0.56420  lr 1.73e-03  0.5s
12:14:00 | INFO    | 16_gap_injection | gru_h64_l2_w48_H24_s2024 epoch  33/65  train 0.07249  val 0.58204  lr 1.66e-03  0.8s
12:14:01 | INFO    | 16_gap_injection | gru_h64_l2_w48_H24_s2024 epoch  34/65  train 0.07276  val 0.56438  lr 1.58e-03  1.0s
12:14:02 | INFO    | 16_gap_injection | gru_h64_l2_w48_H24_s2024 epoch  35/65  train 0.07250  val 0.55874  lr 1.51e-03  1.0s
12:14:03 | INFO    | 16_gap_injection | gru_h64_l2_w48_H24_s2024 epoch  36/65  train 0.07044  val 0.58858  lr 1.43e-03  0.9s
