16:51:05 | INFO    | 06_train_sequence | device=cuda progress=tqdm max_minutes=10.0
17:19:39 | INFO    | 06_train_sequence | gru_h32_l1_w24_H1_s42 epoch  13/60  train 0.11224  val 0.04502  lr 1.00e-03  0.4s
17:19:40 | INFO    | 06_train_sequence | gru_h32_l1_w24_H1_s42 epoch  14/60  train 0.10907  val 0.04483  lr 1.00e-03  0.4s  *
17:19:40 | INFO    | 06_train_sequence | gru_h32_l1_w24_H1_s42 epoch  15/60  train 0.10701  val 0.04313  lr 1.00e-03  0.4s  *
17:19:40 | INFO    | 06_train_sequence | gru_h32_l1_w24_H1_s42 epoch  16/60  train 0.10614  val 0.04408  lr 1.00e-03  0.4s
17:19:41 | INFO    | 06_train_sequence | gru_h32_l1_w24_H1_s42 epoch  17/60  train 0.10440  val 0.04525  lr 1.00e-03  0.5s
17:19:42 | INFO    | 06_train_sequence | gru_h32_l1_w24_H1_s42 epoch  18/60  train 0.10284  val 0.04434  lr 1.00e-03  0.5s
17:19:42 | INFO    | 06_train_sequence | gru_h32_l1_w24_H1_s42 epoch  19/60  train 0.10234  val 0.04690  lr 1.00e-03  0.4s
17:19:42 | INFO    | 06_train_sequence | gru_h32_l1_w24_H1_s42 epoch  20/60  train 0.10219  val 0.05090  lr 5.00e-04  0.4s
17:19:43 | INFO    | 06_train_sequence | gru_h32_l1_w24_H1_s42 epoch  21/60  train 0.09832  val 0.04334  lr 5.00e-04  0.4s
17:19:43 | INFO    | 06_train_sequence | gru_h32_l1_w24_H1_s42 epoch  22/60  train 0.09890  val 0.04367  lr 5.00e-04  0.4s
17:19:44 | INFO    | 06_train_sequence | gru_h32_l1_w24_H1_s42 epoch  23/60  train 0.09753  val 0.04493  lr 5.00e-04  0.4s
17:19:44 | INFO    | 06_train_sequence | gru_h32_l1_w24_H1_s42 epoch  24/60  train 0.09821  val 0.04330  lr 5.00e-04  0.4s
17:19:45 | INFO    | 06_train_sequence | gru_h32_l1_w24_H1_s42 epoch  25/60  train 0.09693  val 0.04400  lr 2.50e-04  0.4s
17:19:45 | INFO    | 06_train_sequence |   gru_h32_l1_w24_H1_s42  RMSE   42.72  MAE   22.87  R2  0.784  skill -0.1677  (13089 params, 12 s, early stopping after 10 epochs without improvement)
17:19:45 | INFO    | 06_train_sequence | [2/675] gru_h32_l1_w24_H1_s1337
17:19:45 | WARNING | 06_train_sequence | CodeCarbon unavailable (TypeError: BaseEmissionsTracker.__init__() got an unexpected keyword argument 'country_iso_code'); timing only
17:19:45 | INFO    | 06_train_sequence | gru_h32_l1_w24_H1_s1337: 13089 params | train 27186 windows, val 6160 | 107 steps/epoch | matrix 30.8 MB on device
17:19:45 | INFO    | 06_train_sequence | gru_h32_l1_w24_H1_s1337 epoch   1/60  train 1.72927  val 0.12581  lr 1.00e-03  0.4s  *
17:19:46 | INFO    | 06_train_sequence | gru_h32_l1_w24_H1_s1337 epoch   2/60  train 0.16906  val 0.06081  lr 1.00e-03  0.4s  *
17:19:46 | INFO    | 06_train_sequence | gru_h32_l1_w24_H1_s1337 epoch   3/60  train 0.14455  val 0.05208  lr 1.00e-03  0.4s  *
17:19:47 | INFO    | 06_train_sequence | gru_h32_l1_w24_H1_s1337 epoch   4/60  train 0.13726  val 0.05044  lr 1.00e-03  0.4s  *
17:19:47 | INFO    | 06_train_sequence | gru_h32_l1_w24_H1_s1337 epoch   5/60  train 0.13218  val 0.05604  lr 1.00e-03  0.4s
17:19:48 | INFO    | 06_train_sequence | gru_h32_l1_w24_H1_s1337 epoch   6/60  train 0.13027  val 0.04794  lr 1.00e-03  0.5s  *
17:19:48 | INFO    | 06_train_sequence | gru_h32_l1_w24_H1_s1337 epoch   7/60  train 0.12564  val 0.04623  lr 1.00e-03  0.6s  *
17:19:49 | INFO    | 06_train_sequence | gru_h32_l1_w24_H1_s1337 epoch   8/60  train 0.12546  val 0.04753  lr 1.00e-03  0.5s
17:19:50 | INFO    | 06_train_sequence | gru_h32_l1_w24_H1_s1337 epoch   9/60  train 0.12136  val 0.04611  lr 1.00e-03  0.5s  *
17:19:50 | INFO    | 06_train_sequence | gru_h32_l1_w24_H1_s1337 epoch  10/60  train 0.11830  val 0.04480  lr 1.00e-03  0.5s  *
