15:19:08 | INFO    | 16_gap_injection | --force over the full grid: discarding 101 existing cells so a partial run leaves no stale mixture (restart without --force to resume)
15:19:26 | INFO    | 16_gap_injection | gru_h64_l2_w48_H24_s1337 epoch  22/63  train 0.09156  val 0.59225  lr 2.38e-03  0.4s
15:19:26 | INFO    | 16_gap_injection | gru_h64_l2_w48_H24_s1337 epoch  23/63  train 0.08794  val 0.58187  lr 2.32e-03  0.4s
15:19:27 | INFO    | 16_gap_injection | gru_h64_l2_w48_H24_s1337 epoch  24/63  train 0.08618  val 0.57890  lr 2.25e-03  0.4s
15:19:27 | INFO    | 16_gap_injection | gru_h64_l2_w48_H24_s1337 epoch  25/63  train 0.08346  val 0.58149  lr 2.18e-03  0.4s
15:19:27 | INFO    | 16_gap_injection | gru_h64_l2_w48_H24_s1337 epoch  26/63  train 0.07941  val 0.54365  lr 2.11e-03  0.4s
15:19:28 | INFO    | 16_gap_injection | gru_h64_l2_w48_H24_s1337 epoch  27/63  train 0.08035  val 0.56387  lr 2.04e-03  0.4s
15:19:28 | INFO    | 16_gap_injection | gru_h64_l2_w48_H24_s1337 epoch  28/63  train 0.07592  val 0.56308  lr 1.97e-03  0.4s
15:19:29 | INFO    | 16_gap_injection | gru_h64_l2_w48_H24_s1337 epoch  29/63  train 0.07421  val 0.59764  lr 1.89e-03  0.4s
15:19:29 | INFO    | 16_gap_injection | gru_h64_l2_w48_H24_s1337 epoch  30/63  train 0.07250  val 0.57651  lr 1.82e-03  0.4s
15:19:29 | INFO    | 16_gap_injection | gru_h64_l2_w48_H24_s1337 epoch  31/63  train 0.07132  val 0.58340  lr 1.74e-03  0.4s
15:19:30 | INFO    | 16_gap_injection | gru_h64_l2_w48_H24_s1337 epoch  32/63  train 0.06850  val 0.58438  lr 1.66e-03  0.4s
15:19:30 | INFO    | 16_gap_injection | gru_h64_l2_w48_H24_s1337 epoch  33/63  train 0.06825  val 0.60077  lr 1.58e-03  0.4s
15:19:31 | INFO    | 16_gap_injection | gru_h64_l2_w48_H24_s1337 epoch  34/63  train 0.06629  val 0.60934  lr 1.51e-03  0.4s
15:19:31 | INFO    | 16_gap_injection | gru_h64_l2_w48_H24_s1337 epoch  35/63  train 0.06637  val 0.56388  lr 1.43e-03  0.4s
15:19:31 | INFO    | 16_gap_injection | gru_h64_l2_w48_H24_s1337 epoch  36/63  train 0.06468  val 0.57272  lr 1.35e-03  0.4s
15:19:32 | INFO    | 16_gap_injection | gru_h64_l2_w48_H24_s1337 epoch  37/63  train 0.06233  val 0.58555  lr 1.27e-03  0.4s
15:19:32 | INFO    | 16_gap_injection |     gru_h64_l2: 20655 windows, 81 steps/epoch -> 63 epochs (~5103 optimizer steps)
15:19:32 | INFO    | 16_gap_injection | gru_h64_l2_w48_H24_s2024: resumed from epoch 21 (best val 0.42418)
15:19:32 | INFO    | 16_gap_injection | gru_h64_l2_w48_H24_s2024: 40961 params | train 20655 windows, val 4105 | 81 steps/epoch | matrix 2.3 MB on device
15:19:32 | INFO    | 16_gap_injection | gru_h64_l2_w48_H24_s2024 epoch  22/63  train 0.09105  val 0.57884  lr 2.38e-03  0.4s
15:19:33 | INFO    | 16_gap_injection | gru_h64_l2_w48_H24_s2024 epoch  23/63  train 0.08886  val 0.59524  lr 2.32e-03  0.4s
15:19:33 | INFO    | 16_gap_injection | gru_h64_l2_w48_H24_s2024 epoch  24/63  train 0.08734  val 0.55661  lr 2.25e-03  0.4s
15:19:34 | INFO    | 16_gap_injection | gru_h64_l2_w48_H24_s2024 epoch  25/63  train 0.08193  val 0.55874  lr 2.18e-03  0.4s
15:19:34 | INFO    | 16_gap_injection | gru_h64_l2_w48_H24_s2024 epoch  26/63  train 0.07983  val 0.56659  lr 2.11e-03  0.4s
15:19:34 | INFO    | 16_gap_injection | gru_h64_l2_w48_H24_s2024 epoch  27/63  train 0.08192  val 0.55439  lr 2.04e-03  0.4s
15:19:35 | INFO    | 16_gap_injection | gru_h64_l2_w48_H24_s2024 epoch  28/63  train 0.07628  val 0.57335  lr 1.97e-03  0.4s
15:19:35 | INFO    | 16_gap_injection | gru_h64_l2_w48_H24_s2024 epoch  29/63  train 0.07378  val 0.57417  lr 1.89e-03  0.4s
15:19:36 | INFO    | 16_gap_injection | gru_h64_l2_w48_H24_s2024 epoch  30/63  train 0.07276  val 0.55990  lr 1.82e-03  0.4s
15:19:36 | INFO    | 16_gap_injection | gru_h64_l2_w48_H24_s2024 epoch  31/63  train 0.07370  val 0.56667  lr 1.74e-03  0.4s
15:19:36 | INFO    | 16_gap_injection | gru_h64_l2_w48_H24_s2024 epoch  32/63  train 0.07162  val 0.57047  lr 1.66e-03  0.4s
15:19:37 | INFO    | 16_gap_injection | gru_h64_l2_w48_H24_s2024 epoch  33/63  train 0.06839  val 0.57016  lr 1.58e-03  0.4s
15:19:37 | INFO    | 16_gap_injection | gru_h64_l2_w48_H24_s2024 epoch  34/63  train 0.06674  val 0.56364  lr 1.51e-03  0.4s
15:19:38 | INFO    | 16_gap_injection | gru_h64_l2_w48_H24_s2024 epoch  35/63  train 0.06483  val 0.56068  lr 1.43e-03  0.4s
