Family,Units,Gap per 10pp lost,95% CI,p (Wilcoxon),p (Holm)
trees,10,-0.013,"[-0.0213, -0.0041]",0.0645,0.2578
sequence,10,-0.008,"[-0.0284, +0.0130]",0.6250,1.0000
climatological,10,0.003,"[-0.0075, +0.0114]",0.6250,1.0000
linear,10,0.003,"[-0.0134, +0.0207]",1.0000,1.0000
