Family,Coverage,Fragmented,Contiguous,Difference
climatological,100,0.049,0.049,0.000
climatological,95,0.043,0.045,-0.001
climatological,90,0.042,0.044,-0.002
climatological,85,0.033,0.043,-0.011
climatological,82,0.029,0.042,-0.013
climatological,75,0.040,0.031,0.008
linear,100,0.106,0.106,0.000
linear,95,0.097,0.096,0.001
linear,90,0.095,0.094,0.001
linear,85,0.096,0.093,0.003
linear,82,0.097,0.092,0.005
linear,75,0.092,0.090,0.002
sequence,100,0.114,0.114,0.000
sequence,95,0.116,0.120,-0.003
sequence,90,0.114,0.121,-0.006
sequence,85,0.120,0.121,-0.001
sequence,82,0.116,0.110,0.006
sequence,75,0.107,0.117,-0.010
trees,100,0.110,0.110,0.000
trees,95,0.107,0.099,0.009
trees,90,0.092,0.099,-0.007
trees,85,0.085,0.098,-0.013
trees,82,0.079,0.099,-0.020
trees,75,0.083,0.099,-0.016
