Model,Window (h),h (hours),Params,Seeds,RMSE,MAE,R2,Skill
lstm_h64_l1,48,3,21569,5,48.79 ± 0.48,30.67 ± 0.15,0.719 ± 0.006,0.1924 ± 0.0079
gru_h32_l1,24,3,5025,5,48.82 ± 0.74,29.59 ± 0.34,0.718 ± 0.009,0.1918 ± 0.0122
lstm_h64_l2,24,3,54849,5,48.88 ± 0.71,30.80 ± 1.05,0.717 ± 0.008,0.1908 ± 0.0117
lstm_h128_l1,168,3,75905,5,48.97 ± 0.35,30.86 ± 0.28,0.716 ± 0.004,0.1893 ± 0.0057
lstm_h64_l1,168,3,21569,5,49.01 ± 0.14,30.68 ± 0.36,0.716 ± 0.002,0.1887 ± 0.0023
lstm_h64_l2,48,3,54849,5,49.26 ± 0.87,30.96 ± 1.16,0.713 ± 0.010,0.1845 ± 0.0144
gru_h32_l2,24,3,11361,5,49.28 ± 0.70,29.98 ± 0.43,0.713 ± 0.008,0.1842 ± 0.0116
gru_h64_l2,48,3,41153,5,49.33 ± 0.75,30.35 ± 0.50,0.712 ± 0.009,0.1834 ± 0.0125
lstm_h32_l1,168,3,6689,5,49.34 ± 0.19,30.64 ± 0.11,0.712 ± 0.002,0.1832 ± 0.0031
lstm_h32_l1,24,3,6689,5,49.40 ± 0.70,30.55 ± 0.49,0.711 ± 0.008,0.1823 ± 0.0115
lstm_h64_l2,168,3,54849,5,49.44 ± 1.06,31.13 ± 1.45,0.711 ± 0.012,0.1815 ± 0.0175
gru_h64_l2,168,3,41153,5,49.55 ± 0.85,30.62 ± 0.40,0.710 ± 0.010,0.1797 ± 0.0141
gru_h32_l2,48,3,11361,5,49.59 ± 0.98,30.25 ± 0.33,0.709 ± 0.012,0.1791 ± 0.0163
lstm_h32_l1,48,3,6689,5,49.69 ± 0.57,30.77 ± 0.41,0.708 ± 0.007,0.1774 ± 0.0094
gru_h64_l1,48,3,16193,5,49.75 ± 0.76,30.09 ± 0.22,0.707 ± 0.009,0.1764 ± 0.0126
gru_h32_l1,48,3,5025,5,49.76 ± 0.46,30.10 ± 0.20,0.707 ± 0.005,0.1762 ± 0.0076
gru_h32_l2,168,3,11361,5,49.77 ± 0.40,30.46 ± 0.42,0.707 ± 0.005,0.1761 ± 0.0066
