input_window_h,horizon_h,slots_in_span,gap_free_windows,pct_retained
24,1,79192,62613,79.1
24,3,79190,62204,78.6
24,6,79187,61623,77.8
24,12,79181,60518,76.4
24,24,79169,58395,73.8
48,1,79168,58230,73.6
48,3,79166,57903,73.1
48,6,79163,57425,72.5
48,12,79157,56501,71.4
48,24,79145,54737,69.2
168,1,79048,43858,55.5
168,3,79046,43681,55.3
168,6,79043,43417,54.9
168,12,79037,42900,54.3
168,24,79025,41910,53.0
