huber_delta,lr,weight_decay,mean_val_rmse,mean_val_loss,n_runs
1.0,0.003,0.001,48.16753908407611,0.10456439186635136,2
1.0,0.003,0.01,48.315997422627404,0.10401072667788099,2
1.0,0.003,0.0001,48.39701181118592,0.10523361199411096,2
0.3,0.003,0.001,48.461116180278765,0.06875459134491124,2
0.3,0.003,0.0001,48.750922601832826,0.06913115685097217,2
0.3,0.003,0.01,49.24485123978641,0.06981136269404496,2
0.3,0.0003,0.001,49.251149340886414,0.0683563014906835,2
0.3,0.0003,0.01,49.25384808233744,0.06835919974901965,2
0.3,0.0003,0.0001,49.26675335707184,0.06837600793573759,2
1.0,0.0003,0.0001,49.30012108665356,0.10582133142338591,2
1.0,0.0003,0.001,49.312176283129425,0.1058687960020541,2
1.0,0.0003,0.01,49.34030369034966,0.1058878411251917,2
0.3,0.01,0.001,49.57876026774487,0.07334350621144778,2
0.3,0.001,0.01,49.603624475003954,0.06698764918651978,2
0.3,0.001,0.0001,49.60878123407286,0.06726044981383056,2
0.3,0.001,0.001,49.63854228559713,0.06719627617557293,2
1.0,0.01,0.01,49.72006939089444,0.1163469748053853,2
1.0,0.01,0.001,49.85940256680869,0.11359522742079298,2
1.0,0.001,0.01,49.89273950042429,0.10512305327404156,2
1.0,0.001,0.001,49.89485740600158,0.10534489471480989,2
1.0,0.001,0.0001,49.9257206676035,0.10442086813688328,2
0.3,0.01,0.0001,50.326692826794925,0.07172736582963232,2
0.3,0.01,0.01,51.59773369514478,0.07109396911463148,2
1.0,0.01,0.0001,51.68719913457086,0.11500490882115691,2
