Model,Tier,h (hours),RMSE,MAE,R2,sMAPE,Skill
persistence,tier1,24,73.760,45.220,0.361,37.980,0.000
seasonal_naive,tier1,24,73.760,45.220,0.361,37.980,0.000
climatology,tier1,24,65.430,42.720,0.497,37.280,0.113
ridge,tier2,24,66.660,41.110,0.478,34.810,0.096
random_forest,tier2,24,58.500,36.250,0.598,32.380,0.207
xgboost,tier2,24,58.700,36.370,0.595,32.150,0.204
lightgbm,tier2,24,59.020,36.620,0.591,32.400,0.200
