Model,RMSE [95\% CI],MAE,R2,sMAPE,Skill
persistence,"73.76 [67.8, 79.9]",45.220,0.361,37.980,0.000
seasonal_naive,"73.76 [67.8, 79.9]",45.220,0.361,37.980,0.000
climatology,"65.43 [60.5, 70.5]",42.720,0.497,37.280,0.113
sarimax,"81.36 [74.8, 87.9]",55.760,0.221,48.890,-0.103
