horizon_h,train,val,test,total_valid,rej_no_run,rej_short_history,rej_target_past_run_end,rej_target_imputed,rej_split_boundary
1,41286,7738,11037,60061,10766,5837,206,2322,24
3,41015,7707,11014,59736,10766,5837,609,2242,26
6,40591,7660,10978,59229,10766,5837,1176,2179,29
12,39753,7565,10906,58224,10766,5837,2276,2078,35
24,38155,7381,10763,56299,10766,5837,4383,1884,47
