model,window,horizon_h,seed,n_params,rmse,mae,r2,smape,bias,n,skill_vs_persistence
gru_h64_l1,48,1,31415,16193,35.11232380991124,19.421857060480704,0.8542298096347913,17.63262932172434,-4.11094091680562,9334,0.040164180205543465
gru_h64_l1,48,3,42,16193,49.62804403204335,30.128168209865766,0.7088211739790602,26.34405567637879,-8.831314640276121,9311,0.17844175033515242
gru_h64_l1,48,3,1337,16193,49.02044530733207,29.856977149979883,0.7159073635364052,26.248187838578,-7.864624041498114,9311,0.18850013072286398
gru_h64_l1,48,3,2024,16193,50.920000933414215,30.440130894910343,0.693463440382134,26.608908757654305,-11.816633278496361,9311,0.15705428945018696
gru_h64_l1,48,3,7,16193,50.013225296114484,30.025198284594833,0.7042837446031802,26.16234943862325,-10.22099000512211,9311,0.17206533854447903
gru_h64_l1,48,3,31415,16193,49.175383554649656,30.023719790150135,0.7141086700906691,26.35627303304458,-6.5038194244288325,9311,0.18593523424638414
gru_h64_l1,48,6,42,16193,57.86609904640352,35.65674187303625,0.6037549596927332,30.97502437160787,-13.881441216967906,9277,0.3000465765692094
gru_h64_l1,48,6,1337,16193,57.29486045754575,35.82863467545442,0.6115395944241151,30.992440847163238,-10.187296049570934,9277,0.3069563287808823
gru_h64_l1,48,6,2024,16193,56.7836446008176,36.97580969222421,0.6184407777556433,31.541970101067257,3.7055693381322783,9277,0.31314004074567237
gru_h64_l1,48,6,7,16193,56.534712831182084,35.372876736115096,0.6217788522499541,30.526631985569658,-8.293007154867647,9277,0.31615114132491384
