model,tier,variant,horizon_h,rmse,rmse_std,skill,skill_std,val,n_seeds,n_params,chosen_arch,city
persistence,tier1,standard,24,97.29176691674544,,0.0,,,1,,,Beijing
random_forest,tier2,standard,1,20.160228120510848,,0.05258471305302104,,,1,,,Beijing
random_forest,tier2,standard,3,42.25400272441543,,0.003486065874404587,,,1,,,Beijing
random_forest,tier2,standard,6,61.713548587294724,,-0.023884302075820374,,,1,,,Beijing
random_forest,tier2,standard,12,78.75217337050731,,-0.009648844145495383,,,1,,,Beijing
random_forest,tier2,standard,24,93.72705358025209,,0.03663941409907534,,,1,,,Beijing
ridge,tier2,standard,1,92.45949937366314,,-3.3450670600771657,,,1,,,Beijing
ridge,tier2,standard,3,90.8286855755073,,-1.142094120280949,,,1,,,Beijing
ridge,tier2,standard,6,82.4683670319321,,-0.3682257519575869,,,1,,,Beijing
ridge,tier2,standard,12,75.82549696932577,,0.027872856134937063,,,1,,,Beijing
ridge,tier2,standard,24,90.31964139276629,,0.07166203004561889,,,1,,,Beijing
sarimax,tier1,standard,1,19.965284078132896,,0.06174596682178202,,,1,,,Beijing
sarimax,tier1,standard,3,40.795409293404305,,0.037885379182224566,,,1,,,Beijing
sarimax,tier1,standard,6,56.65704460884217,,0.060007730799232606,,,1,,,Beijing
sarimax,tier1,standard,12,71.3014762889257,,0.08587344272658082,,,1,,,Beijing
sarimax,tier1,standard,24,85.14895838787793,,0.12480818175764419,,,1,,,Beijing
seasonal_naive,tier1,standard,1,96.00141972501197,,-3.51151703603763,,,1,,,Beijing
seasonal_naive,tier1,standard,3,96.07272516135325,,-1.2657689955935814,,,1,,,Beijing
seasonal_naive,tier1,standard,6,96.24351977244618,,-0.5967681542755887,,,1,,,Beijing
seasonal_naive,tier1,standard,12,96.62185310157582,,-0.23874857198208987,,,1,,,Beijing
seasonal_naive,tier1,standard,24,97.29176691674544,,0.0,,,1,,,Beijing
xgboost,tier2,standard,1,20.143557421680647,,0.053368140443892376,,,1,,,Beijing
xgboost,tier2,standard,3,44.51029321324225,,-0.04972605053064738,,,1,,,Beijing
xgboost,tier2,standard,6,62.678816736198016,,-0.0398989848736806,,,1,,,Beijing
xgboost,tier2,standard,12,75.75082240401578,,0.028830227662927643,,,1,,,Beijing
xgboost,tier2,standard,24,93.56847311156665,,0.038269361562370374,,,1,,,Beijing
best sequence,tier3,w168,1,21.461002840690742,0.8437000915263065,-0.008544250736768743,0.03964907339006503,0.05485278911516582,5,41537.0,lstm_h64_l1 w168,Beijing
best sequence,tier3,w168,3,42.111214413860615,1.1906207056203197,0.006853570298214073,0.028079472876152537,0.12145621433949887,5,41537.0,lstm_h64_l1 w168,Beijing
best sequence,tier3,w48,6,59.705307755983405,0.9132241741117857,0.00943425290986195,0.015151225582605976,0.20699342996932427,5,86913.0,gru_h128_l1 w48,Beijing
best sequence,tier3,w48,12,74.54175391787938,1.5528513861595672,0.04433119160175318,0.01990846144384491,0.3392219164011457,5,86913.0,gru_h128_l1 w48,Beijing
best sequence,tier3,w168,24,91.55479065043419,0.7519153964295787,0.05896671885114908,0.007728458637954485,0.4867368193072057,5,41537.0,lstm_h64_l1 w168,Beijing
