Model,RMSE,95% CI
gru_h64_l1,57.240,"[52.38, 62.17]"
random_forest,58.500,"[53.45, 63.49]"
xgboost,58.700,"[53.64, 63.73]"
lightgbm,59.020,"[54.03, 64.19]"
ridge,59.370,"[54.30, 64.34]"
climatology,65.430,"[60.52, 70.45]"
seasonal_naive,73.760,"[67.77, 79.86]"
persistence,73.760,"[67.77, 79.86]"
sarimax,81.360,"[74.83, 87.93]"
