Family,Units,Mean contrast,Median,95% CI,p (Wilcoxon),p (Holm)
trees,50,-0.009,-0.004,"[-0.0259, +0.0066]",0.4319,1.0000
climatological,50,-0.007,0.002,"[-0.0225, +0.0092]",0.5918,1.0000
linear,50,-0.005,-0.001,"[-0.0171, +0.0074]",0.6947,1.0000
