Family,Units,Gap per 10pp lost,95% CI,p (Wilcoxon),p (Holm)
climatological,10,-0.015,"[-0.0416, +0.0079]",0.3750,1.0000
sequence,10,-0.013,"[-0.0287, +0.0016]",0.2754,1.0000
linear,10,-0.009,"[-0.0258, +0.0072]",0.6250,1.0000
trees,10,0.008,"[-0.0119, +0.0283]",0.6250,1.0000
