Family,Units,Mean contrast,Median,95% CI,p (Wilcoxon),p (Holm)
linear,50,-0.038,-0.032,"[-0.0538, -0.0232]",<0.0001,<0.0001
trees,50,-0.013,-0.002,"[-0.0320, +0.0045]",0.4490,0.4490
climatological,50,-0.004,-0.019,"[-0.0278, +0.0215]",0.1305,0.2609
