Model,Window (h),h (hours),Params,Seeds,RMSE,MAE,R2,Skill
gru_h64_l2,168,3,56129,5,44.71 ± 1.32,24.33 ± 0.58,0.774 ± 0.013,-0.0544 ± 0.0310
gru_h64_l2,48,3,56129,5,44.88 ± 0.61,24.40 ± 0.20,0.772 ± 0.006,-0.0585 ± 0.0144
lstm_h32_l2,24,3,25121,5,45.60 ± 1.23,25.04 ± 0.63,0.765 ± 0.013,-0.0755 ± 0.0291
gru_h32_l1,48,3,12513,5,45.66 ± 0.95,25.26 ± 0.40,0.765 ± 0.010,-0.0767 ± 0.0223
lstm_h32_l2,168,3,25121,5,45.72 ± 1.04,25.26 ± 0.52,0.764 ± 0.011,-0.0783 ± 0.0245
gru_h64_l1,168,3,31169,5,45.75 ± 0.76,25.33 ± 0.55,0.764 ± 0.008,-0.0790 ± 0.0180
lstm_h32_l2,48,3,25121,5,45.76 ± 1.30,25.22 ± 0.76,0.763 ± 0.013,-0.0792 ± 0.0306
gru_h32_l2,24,3,18849,5,46.36 ± 2.16,25.31 ± 1.02,0.757 ± 0.022,-0.0933 ± 0.0509
gru_h32_l2,48,3,18849,5,46.93 ± 1.72,25.61 ± 0.99,0.751 ± 0.018,-0.1069 ± 0.0406
gru_h32_l2,168,3,18849,5,47.14 ± 0.94,25.59 ± 0.49,0.749 ± 0.010,-0.1117 ± 0.0221
gru_h32_l1,168,3,12513,5,47.65 ± 1.67,26.18 ± 0.68,0.743 ± 0.018,-0.1239 ± 0.0394
gru_h32_l1,24,3,12513,5,48.18 ± 2.10,26.50 ± 0.99,0.737 ± 0.023,-0.1362 ± 0.0495
lstm_h64_l1,24,6,41537,5,57.34 ± 1.06,34.40 ± 0.53,0.630 ± 0.014,0.0487 ± 0.0175
lstm_h64_l1,168,6,41537,5,57.61 ± 0.93,34.50 ± 0.48,0.626 ± 0.012,0.0442 ± 0.0154
lstm_h64_l2,48,6,74817,5,57.95 ± 0.67,34.78 ± 0.63,0.622 ± 0.009,0.0385 ± 0.0111
lstm_h64_l2,168,6,74817,5,58.07 ± 1.68,34.80 ± 0.71,0.620 ± 0.022,0.0366 ± 0.0279
gru_h64_l2,24,6,56129,5,58.09 ± 1.10,34.66 ± 0.58,0.620 ± 0.014,0.0362 ± 0.0182
lstm_h64_l1,48,6,41537,5,58.62 ± 2.19,35.05 ± 1.30,0.613 ± 0.029,0.0275 ± 0.0363
gru_h64_l2,168,6,56129,5,58.89 ± 2.18,34.95 ± 0.98,0.609 ± 0.029,0.0229 ± 0.0361
gru_h64_l2,48,6,56129,5,58.98 ± 1.95,34.98 ± 0.88,0.608 ± 0.026,0.0215 ± 0.0324
lstm_h64_l2,24,6,74817,5,59.02 ± 1.41,35.08 ± 0.68,0.608 ± 0.019,0.0208 ± 0.0234
gru_h64_l1,24,6,31169,5,59.07 ± 1.32,34.96 ± 0.70,0.607 ± 0.018,0.0200 ± 0.0218
gru_h64_l1,48,6,31169,5,59.37 ± 1.68,35.10 ± 1.08,0.603 ± 0.023,0.0149 ± 0.0279
gru_h64_l1,168,6,31169,5,59.53 ± 1.08,35.30 ± 0.75,0.601 ± 0.015,0.0124 ± 0.0180
gru_h128_l1,48,6,86913,5,59.71 ± 0.91,35.89 ± 0.29,0.599 ± 0.012,0.0094 ± 0.0152
gru_h128_l1,24,6,86913,5,59.76 ± 0.41,35.87 ± 0.60,0.598 ± 0.005,0.0085 ± 0.0067
gru_h128_l1,168,6,86913,5,59.77 ± 0.28,35.97 ± 0.52,0.598 ± 0.004,0.0083 ± 0.0047
lstm_h32_l2,168,6,25121,5,59.91 ± 1.12,35.70 ± 0.53,0.596 ± 0.015,0.0060 ± 0.0186
