Family,Units,Gap per 10pp lost,95% CI,p (Wilcoxon),p (Holm)
climatological,10,-0.052,"[-0.0948, -0.0171]",0.0039,0.0156
sequence,10,-0.040,"[-0.0662, -0.0145]",0.0488,0.1465
trees,10,-0.017,"[-0.0323, +0.0034]",0.0840,0.1680
linear,10,-0.001,"[-0.0092, +0.0075]",0.9219,0.9219
