model,tier,horizon_h,rmse,mae,r2,smape,bias,n,skill_vs_persistence,rmse_ci_lower,rmse_ci_upper
persistence,tier1,1,21.279188121902337,10.627182991647684,0.9487690947426889,19.665697740010064,0.047076689445709946,3951,0.0,18.16584114638307,24.691821571798883
seasonal_naive,tier1,1,96.00141972501197,66.27157681599596,-0.04274288047518526,85.7597700025722,0.22854973424449507,3951,-3.51151703603763,84.73441122212243,108.83190903274422
climatology,tier1,1,93.31867394934325,70.2059632638392,0.014721423702401704,83.76405870571828,5.7935551891554296,3951,-3.3854433456176736,80.38444141641538,108.67843809251794
sarimax,tier1,1,19.965284078132896,10.217000032890379,0.954909086147863,20.893845055482014,-0.24655192863208034,3950,0.06174596682178202,17.02828817345334,23.293966504352053
ridge,tier2,1,21.84561685470854,11.287197734730455,0.9460053728335919,18.967536434589434,-0.6034574596111248,3951,-0.02661890714820947,18.195983135528664,25.929452358488334
random_forest,tier2,1,20.160228120510855,10.154309804315913,0.9540153584049581,18.589167786579132,-1.6374092165255953,3951,0.052584713053020704,16.879927603351803,23.902362743853462
xgboost,tier2,1,20.143557421680647,10.249966985477688,0.9540913773024808,18.446738419005296,-0.6418081089540311,3951,0.053368140443892376,16.955135318635076,23.8651431202551
lightgbm,tier2,1,20.014522701934343,10.182124410214499,0.9546776523988277,18.272094996444267,-0.9152645454998902,3951,0.0594320334367594,16.94355315223221,23.583438872914915
persistence,tier1,3,42.401818256050554,22.804772784970805,0.7969654223674568,34.06576124437585,0.197004315816197,3939,0.0,37.313317574493276,48.39467903156057
seasonal_naive,tier1,3,96.07272516135325,66.33257171871033,-0.04232046721108351,85.81905549573179,0.3503427265803503,3939,-1.2657689955935814,84.88644405142865,108.97031105737013
climatology,tier1,3,93.43292574837835,70.31392123430844,0.014172467828697077,83.84086009377828,5.830725954140399,3939,-1.2035122452572158,80.54972177988321,108.6735072490953
sarimax,tier1,3,40.795409293404305,23.067605392621587,0.8121824931681085,37.72746469464122,-0.9684975206110517,3936,0.037885379182224566,35.606650342617904,46.60053515177823
ridge,tier2,3,41.61784866013055,23.142152145562456,0.8044038513595088,32.61967247940813,-4.8859386247692305,3939,0.018489056086837374,35.42343157259748,48.72627172019105
random_forest,tier2,3,42.254002724415436,22.80804937048648,0.7983785387830427,31.891235016775966,-6.815640432695795,3939,0.003486065874404476,35.80608361422669,49.623114374899345
xgboost,tier2,3,44.51029321324225,23.05150089143979,0.7762711674738044,31.535471738134373,-5.526805496991391,3939,-0.04972605053064738,35.83428429505198,54.72313895097584
lightgbm,tier2,3,44.56646811709285,23.02689079691255,0.7757060902508528,31.46143691146618,-5.103255831042738,3939,-0.051050873525533724,35.72184441345316,54.85712985091176
persistence,tier1,6,60.27394741981769,34.92527416475389,0.5911523196801742,48.81684994180804,0.34787044121397603,3921,0.0,52.39092099590155,68.88408400236406
seasonal_naive,tier1,6,96.24351977244618,66.48150981892374,-0.04242606755371048,85.85451222123702,0.4651874521805662,3921,-0.5967681542755887,84.80890405602283,108.68974695813296
climatology,tier1,6,93.60657621241802,70.48122541068103,0.013913553779440924,83.94192122359871,5.789194039152395,3921,-0.5530188451145108,81.16948420505904,107.88963130562522
sarimax,tier1,6,56.65704460884217,35.37176709264027,0.6392575897411015,52.796760590169626,-2.091092957311288,3915,0.060007730799232606,50.173283876038106,63.788982554410445
ridge,tier2,6,57.52073149840838,34.395714538910724,0.6276502479462567,45.5475792076183,-12.571786646742082,3921,0.04567837414451581,50.176944555081306,65.44002736326809
random_forest,tier2,6,61.71354858729473,35.48093246325166,0.5713890054796966,45.76562765745737,-15.006146311255316,3921,-0.023884302075820374,51.29100258297901,73.8090818231626
xgboost,tier2,6,62.678816736198016,35.026262168990655,0.5578762483783235,44.99284139165948,-13.155802821481346,3921,-0.0398989848736806,50.62434465320764,75.97759488771717
lightgbm,tier2,6,63.34765646903566,35.6588159253835,0.5483901829491498,45.61267634635632,-14.453866860856655,3921,-0.050995648713848096,51.38991368391688,77.66066540042597
persistence,tier1,12,77.99956769836972,48.95032175032175,0.32056532281169736,65.32411230690278,0.6465894465894466,3885,0.0,68.24158677848854,89.03028032322256
seasonal_naive,tier1,12,96.62185310157582,66.82187902187903,-0.04259116998180912,85.922250304118,0.6844272844272844,3885,-0.23874857198208987,85.41966769019716,109.09387562422243
climatology,tier1,12,93.97858106629761,70.85813563236992,0.013672630493785087,84.26576524874919,5.696111845417489,3885,-0.20486028114565902,81.39985059657403,108.26011321049423
sarimax,tier1,12,71.3014762889257,49.429298498556236,0.43388321107058847,67.7864478481637,-4.035883518874694,3873,0.08587344272658082,62.51456356430048,80.65314862607134
ridge,tier2,12,76.02457096721739,48.52093312382414,0.35453711723644576,61.79718255419856,-23.64959406573444,3885,0.025320611247357072,64.44352960754853,88.6347119624438
random_forest,tier2,12,78.75217337050731,48.58021258944245,0.30739054869741667,61.72316827027874,-24.576507252239203,3885,-0.009648844145495383,64.90898581993935,93.90357451455516
xgboost,tier2,12,75.75082240401578,47.09129772180241,0.35917710177028583,60.67783824792432,-22.024079760569677,3885,0.028830227662927643,62.797076155160994,89.61392194896713
lightgbm,tier2,12,79.14755011044403,48.379490997806506,0.3004185739892321,61.68962915727203,-24.862059993331297,3885,-0.014717804802632406,64.73936507079581,94.38709501960854
persistence,tier1,24,97.29176691674544,67.28140571728298,-0.04038568110418428,85.88920245493287,0.9205350118017309,3813,0.0,85.32720114760598,109.72268015771469
seasonal_naive,tier1,24,97.29176691674544,67.28140571728298,-0.04038568110418428,85.88920245493287,0.9205350118017309,3813,0.0,85.32720114760598,109.72268015771469
climatology,tier1,24,94.90594771582433,71.80473250614666,0.010014016846147111,85.109939353711,5.624883241920112,3813,0.024522313413864905,82.38761374478011,108.5753996115254
sarimax,tier1,24,85.14895838787793,62.628292301494696,0.20702057197805135,79.84476516269973,-7.35743931660851,3789,0.12480818175764419,74.29240506487659,97.7170458793217
ridge,tier2,24,91.36330719315524,60.08347398722184,0.08254280954600546,77.9984879516123,-32.312907554816505,3813,0.060934855142093514,76.39997394270162,107.5328325488507
random_forest,tier2,24,93.72705358025209,60.62332250191719,0.03445590019280842,78.68488075454196,-31.75519842779594,3813,0.03663941409907534,77.0678098990441,111.57687082388426
xgboost,tier2,24,93.56847311156665,60.56927416378162,0.03772041984206631,78.35545171394695,-31.79483488191083,3813,0.038269361562370374,77.3714672008278,110.96759798270867
lightgbm,tier2,24,94.17128377333772,59.61618469217969,0.02528159474939462,77.63156221295162,-32.391194483720895,3813,0.032073455363165415,77.06793485855634,111.93885236771331
