arm,target_coverage,family,model,skill,skill_std,rmse,train_rows,n_gaps,coverage,n_draws
contiguous,0.75,linear,dlinear,0.06653062206864806,0.01946264306954006,90.81888514161646,14968.0,155.33333333333334,0.75,3
contiguous,0.75,naive,persistence,0.0,0.0,97.29176691674543,14968.0,155.33333333333334,0.75,3
contiguous,0.75,sequence,gru_h64_l2,0.10627191827991413,0.01805299538000891,86.95238421366064,14968.0,155.33333333333334,0.75,3
contiguous,0.75,trees,random_forest,0.04346016874707148,0.01332837943690751,93.06345030884295,14968.0,155.33333333333334,0.75,3
contiguous,0.82,linear,ridge,0.060303819107909495,0.014176049733705183,91.42470180390914,16542.333333333332,165.66666666666666,0.8199906052878808,3
contiguous,0.82,naive,climatology,0.000504592727387639,0.016111419284335595,97.24267419872456,16542.333333333332,165.66666666666666,0.8199906052878808,3
contiguous,0.82,sequence,gru_h64_l2,0.10131526656532851,0.024456108032131062,87.43462561696356,16542.333333333332,165.66666666666666,0.8199906052878808,3
contiguous,0.82,trees,xgboost,0.03811399568594798,0.007261877628386381,93.58358893220236,16542.333333333332,165.66666666666666,0.8199906052878808,3
contiguous,0.85,linear,ridge,0.05996214969370491,0.01207297742985504,91.45794342491851,17399.4,166.5,0.8499865789826868,10
contiguous,0.85,naive,climatology,0.013405975202979504,0.01751407472607496,95.9874759020055,17399.4,166.5,0.8499865789826868,10
contiguous,0.85,sequence,gru_h64_l2,0.08879265048669166,0.025107929898520783,88.6529730616742,17399.4,166.5,0.8499865789826868,10
contiguous,0.85,trees,random_forest,0.0352295980420783,0.01142294969914269,93.86421707546494,17399.4,166.5,0.8499865789826868,10
contiguous,0.9,linear,ridge,0.06207925410316736,0.00844721065859843,91.25196659617467,18528.1,172.3,0.9000134210173132,10
contiguous,0.9,naive,climatology,0.017635418876100373,0.009826494595263633,95.57598585397271,18528.1,172.3,0.9000134210173132,10
contiguous,0.9,sequence,gru_h64_l2,0.1100081720339519,0.01900300820591371,86.58887748428097,18528.1,172.3,0.9000134210173132,10
contiguous,0.9,trees,random_forest,0.03582537584484584,0.006266477471633228,93.8062528003439,18528.1,172.3,0.9000134210173132,10
contiguous,0.95,linear,ridge,0.06309041037679054,0.00431863032488166,91.15358941568492,19657.8,182.0,0.9500067105086567,10
contiguous,0.95,naive,climatology,0.01745290126164144,0.005980658575606472,95.59374331517685,19657.8,182.0,0.9500067105086567,10
contiguous,0.95,sequence,gru_h64_l2,0.10202590682852206,0.024766986217318845,87.36548617011529,19657.8,182.0,0.9500067105086567,10
contiguous,0.95,trees,xgboost,0.0375664962177766,0.010463430443146144,93.63685612284672,19657.8,182.0,0.9500067105086567,10
contiguous,1.0,linear,ridge,0.060934855142093514,0.0,91.36330719315524,21732.0,180.0,0.9893638437793585,1
contiguous,1.0,naive,climatology,0.024522313413864905,0.0,94.90594771582433,21732.0,180.0,0.9893638437793585,1
contiguous,1.0,sequence,gru_h64_l2,0.08994696061922942,0.0,88.5406681893097,21732.0,180.0,0.9893638437793585,1
contiguous,1.0,trees,xgboost,0.03666117907105215,0.0,93.72493602767157,21732.0,180.0,0.9893638437793585,1
fragmented,0.75,linear,ridge,0.05323567565830304,0.02553175484812539,92.11237396894235,3963.0,1318.6666666666667,0.75,3
fragmented,0.75,naive,persistence,0.0,0.0,97.29176691674543,3963.0,1318.6666666666667,0.75,3
fragmented,0.75,sequence,lstm_h64_l1,0.007262457703750449,0.056072046653390085,96.58518957458944,3963.0,1318.6666666666667,0.75,3
fragmented,0.75,trees,random_forest,0.026988579874723067,0.04879458043714202,94.66600029415993,3963.0,1318.6666666666667,0.75,3
fragmented,0.82,linear,ridge,0.05665026213998886,0.034703881517975134,91.78016281684913,6763.9,988.4,0.8199906052878807,10
fragmented,0.82,naive,persistence,0.0,0.0,97.29176691674544,6763.9,988.4,0.8199906052878807,10
fragmented,0.82,sequence,gru_h64_l2,0.049088834774460396,0.03364595053461171,92.51582744565401,6763.9,988.4,0.8199906052878807,10
fragmented,0.82,trees,random_forest,0.02104162703788054,0.04226783373702506,95.24458984342688,6763.9,988.4,0.8199906052878807,10
fragmented,0.85,linear,ridge,0.06133064620070779,0.025654841990543263,91.32479998173281,8645.6,839.2,0.8499865789826868,10
fragmented,0.85,naive,persistence,0.0,0.0,97.29176691674544,8645.6,839.2,0.8499865789826868,10
fragmented,0.85,sequence,lstm_h64_l1,0.06132465878017947,0.034157600320422817,91.32538250845528,8645.6,839.2,0.8499865789826868,10
fragmented,0.85,trees,random_forest,0.0251728823698526,0.02572550698519264,94.8426527125951,8645.6,839.2,0.8499865789826868,10
fragmented,0.9,linear,ridge,0.06071089739739085,0.01636158272880121,91.38509643785206,11603.1,644.2,0.9000134210173132,10
fragmented,0.9,naive,climatology,0.02089119525729043,0.012641648145471106,95.25922561716092,11603.1,644.2,0.9000134210173132,10
fragmented,0.9,sequence,gru_h64_l2,0.08279756884909688,0.025777748472931416,89.23624514700593,11603.1,644.2,0.9000134210173132,10
