AQI category,Test support,Precision,Recall,F1
Good,167,0.369 ± 0.010,0.315 ± 0.003,0.340 ± 0.006
Moderate,965,0.619 ± 0.006,0.558 ± 0.007,0.587 ± 0.005
Unhealthy for Sensitive Groups,524,0.285 ± 0.018,0.165 ± 0.009,0.209 ± 0.012
Unhealthy,1293,0.537 ± 0.005,0.607 ± 0.003,0.570 ± 0.004
Very Unhealthy,583,0.365 ± 0.009,0.443 ± 0.010,0.400 ± 0.009
Hazardous,281,0.443 ± 0.019,0.520 ± 0.034,0.478 ± 0.021
