model,horizon_h,stratum,group,n,rmse,mae,r2,smape,bias,reference_rmse,skill_vs_persistence
random_forest,1,pollution,observed <= 65 ug/m3,2115,14.849851167843418,6.071404571562245,0.33431910407512255,25.825908724119262,2.0184052749023813,17.261580893443636,0.1397166192649394
random_forest,1,pollution,observed > 35 ug/m3,2458,23.893564918236326,13.372829353772232,0.9360515607049221,11.670718666866083,-3.779243433476583,24.81616707084066,0.03717746378683939
random_forest,1,pollution,observed <= 35 ug/m3,1493,11.647469614802116,4.855501329725395,-0.610952281877762,29.979353946160288,1.8887987575303569,13.578873311209419,0.14223593166694626
xgboost,1,overall,all,3951,20.143557421680647,10.249966985477688,0.9540913773024808,18.446738419005296,-0.6418081089540311,21.279188121902337,0.053368140443892376
xgboost,1,season,monsoon (wet),985,11.185307000578263,7.186325511843245,0.9350451037018235,16.82422951114525,0.5341331565827967,12.168946081356614,0.08083190394649964
xgboost,1,season,dry,2966,22.337559376708242,11.267393435757498,0.953271319685577,18.985568922795633,-1.0323347935642049,23.537218916193847,0.050968618839680624
xgboost,1,pollution,observed > 65 ug/m3,1836,24.92804099008138,15.139325106894919,0.9294519640272849,10.327231065467597,-4.093800026422201,25.123204040560125,0.0077682388824157345
xgboost,1,pollution,observed <= 65 ug/m3,2115,14.783953510276108,6.005588020502726,0.3402140426323078,25.495161823778446,2.3548146619545083,17.261580893443636,0.14353421036358205
xgboost,1,pollution,observed > 35 ug/m3,2458,24.003380309826895,13.568241114007161,0.935462392804036,11.641562395634448,-2.3073238036068036,24.81616707084066,0.03275230855327371
xgboost,1,pollution,observed <= 35 ug/m3,1493,11.190441496593891,4.786927596378256,-0.48701019545033186,29.650437458151668,2.1002130413852282,13.578873311209419,0.1758932247084054
lightgbm,1,overall,all,3951,20.014522701934343,10.182124410214499,0.9546776523988277,18.272094996444267,-0.9152645454998902,21.279188121902337,0.0594320334367594
lightgbm,1,season,monsoon (wet),985,11.341990234903934,7.180421055400243,0.9332125880452877,16.703676168370286,0.23848378593332556,12.168946081356614,0.06795624213666418
lightgbm,1,season,dry,2966,22.15607658233657,11.178981390825438,0.9540275349353107,18.792962341573357,-1.298421021043288,23.537218916193847,0.05867907923935045
lightgbm,1,pollution,observed > 65 ug/m3,1836,24.596413493391168,15.001650356627199,0.9313165347492549,10.239563307322506,-4.59492766985275,25.123204040560125,0.02096828678055873
lightgbm,1,pollution,observed <= 65 ug/m3,2115,14.937951903312632,5.998365716307306,0.32639701174790503,25.245016122320184,2.2789962092574862,17.261580893443636,0.13461275676166917
lightgbm,1,pollution,observed > 35 ug/m3,2458,23.76674727572332,13.483794454045889,0.9367285855484921,11.602905513122112,-2.6664879919577227,24.81616707084066,0.04228774702078886
lightgbm,1,pollution,observed <= 35 ug/m3,1493,11.40716800708672,4.746421149841057,-0.5451661303982773,29.251912645476995,1.9678615304501108,13.578873311209419,0.15993265820736002
lstm_h64_l1,1,overall,all,3951,21.456816383946336,11.265238348912238,0.947910223809823,20.099697195425783,-3.18927164135519,21.279188121902337,-0.008347511240862193
lstm_h64_l1,1,season,monsoon (wet),985,11.368818036596963,7.3439985804229195,0.9328962628717618,17.393877236274967,-1.066222858194023,12.168946081356614,0.06575163037212273
lstm_h64_l1,1,season,dry,2966,23.882362648314228,12.567470706283101,0.9465845792494452,20.998292158259076,-3.8943299864036565,23.537218916193847,-0.014663743127397266
lstm_h64_l1,1,pollution,observed > 65 ug/m3,1836,27.189634296938795,17.059741786213813,0.9160703600377159,11.584618877880763,-8.846585174394326,25.123204040560125,-0.0822518597963271
lstm_h64_l1,1,pollution,observed <= 65 ug/m3,2115,14.775057193932891,6.235116216105765,0.3410078625725267,27.49150986257125,1.7217579788149526,17.261580893443636,0.14404959284205454
lstm_h64_l1,1,pollution,observed > 35 ug/m3,2458,25.55673007775561,14.97001946428745,0.9268391707622757,12.618301434805218,-6.157173121622029,24.81616707084066,-0.029841957656108864
lstm_h64_l1,1,pollution,observed <= 35 ug/m3,1493,11.960712203492164,5.165873324403013,-0.6987660977881933,32.41669034988349,1.6969318673493579,13.578873311209419,0.11916755320056305
persistence,3,overall,all,3939,42.401818256050554,22.804772784970805,0.7969654223674568,34.06576124437585,0.197004315816197,42.401818256050554,0.0
persistence,3,season,monsoon (wet),979,24.03903872961484,15.497446373850869,0.6987560918421505,31.591949189410002,0.12870275791624106,24.03903872961484,0.0
persistence,3,season,dry,2960,46.9194392952834,25.221621621621622,0.7941153722071412,34.883957866609485,0.2195945945945946,46.9194392952834,0.0
persistence,3,pollution,observed > 65 ug/m3,1830,49.64839763756875,32.18087431693989,0.7208305604671634,23.052390091564988,-7.698907103825136,49.64839763756875,0.0
persistence,3,pollution,observed <= 65 ug/m3,2109,34.91574224364772,14.669037458511143,-2.6770688849580826,43.62217149076934,7.048364153627311,34.91574224364772,0.0
persistence,3,pollution,observed > 35 ug/m3,2450,46.08553715314467,28.573061224489795,0.7626352676555093,25.31685845155115,-4.81061224489796,46.08553715314467,0.0
persistence,3,pollution,observed <= 35 ug/m3,1489,35.518664868814106,13.313633310946944,-13.952268763486128,48.461202374275445,8.436534586971122,35.518664868814106,0.0
seasonal_naive,3,overall,all,3939,96.07272516135325,66.33257171871033,-0.04232046721108351,85.81905549573179,0.3503427265803503,42.401818256050554,-1.2657689955935814
seasonal_naive,3,season,monsoon (wet),979,50.10780003259204,37.637385086823286,-0.3088646853784853,71.50795550698192,-1.2063329928498467,24.03903872961484,-1.0844344316839027
seasonal_naive,3,season,dry,2960,107.0153768314553,75.82331081081081,-0.07105226704473222,90.55235512038928,0.8652027027027027,46.9194392952834,-1.280832389278213
seasonal_naive,3,pollution,observed > 65 ug/m3,1830,99.36568494335604,76.86065573770492,-0.11822774260513969,68.31212866224844,-48.013661202185794,49.64839763756875,-1.0013875506863572
