Model,RMSE [95\% CI],MAE,R2,sMAPE,Skill
persistence,"97.29 [85.3, 109.7]",67.280,-0.040,85.890,0.000
seasonal_naive,"97.29 [85.3, 109.7]",67.280,-0.040,85.890,0.000
climatology,"94.91 [82.4, 108.6]",71.800,0.010,85.110,0.025
sarimax,"85.15 [74.3, 97.7]",62.630,0.207,79.840,0.125
ridge,"90.32 [75.6, 105.5]",60.770,0.103,79.500,0.072
random_forest,"93.73 [77.1, 111.6]",60.620,0.034,78.680,0.037
xgboost,"93.57 [77.4, 111.0]",60.570,0.038,78.360,0.038
lightgbm,"94.17 [77.1, 111.9]",59.620,0.025,77.630,0.032
