Family,Units,Gap per 10pp lost,95% CI,p (Wilcoxon),p (Holm)
linear,10,-0.042,"[-0.0560, -0.0268]",0.0039,0.0156
sequence,10,-0.015,"[-0.0319, +0.0010]",0.1602,0.4805
climatological,10,-0.007,"[-0.0515, +0.0289]",1.0000,1.0000
trees,10,-0.006,"[-0.0160, +0.0026]",0.4316,0.8633
