Family,Units,Mean contrast,Median,95% CI,p (Wilcoxon),p (Holm)
climatological,50,-0.018,-0.022,"[-0.0468, +0.0107]",0.1232,0.2463
trees,50,-0.008,-0.003,"[-0.0174, +0.0007]",0.2571,0.2571
linear,50,0.016,0.014,"[+0.0052, +0.0276]",0.0081,0.0243
